rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance_class_weights,param_loss,param_model__architecture,param_optimizer__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11,40.634152253468834,15.126113017347622,7.652292410532634,10.094045521418444,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}",0.001,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}, 'optimizer__learning_rate': 0.001}",0.8127086152673555,0.817793019911009,0.8301570649884762,0.8202195667222801,0.007327036530916951,11
12,33.70921103159586,4.889887177246651,0.5270438194274902,0.07703278893087785,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}",0.001,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}, 'optimizer__learning_rate': 0.001}",0.812255983151233,0.8163384396652975,0.8162684338992336,0.8149542855719214,0.0019082019751483403,12
13,75.78981399536133,3.045107438050508,0.40632255872090656,0.014660291105418307,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}",0.0001,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}, 'optimizer__learning_rate': 0.0001}",0.8162752496759331,0.8155784161850783,0.8097238568853875,0.8138591742487996,0.002937916665552615,13
14,69.10228141148885,5.76025861986303,0.6193585395812988,0.047852178871602605,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}",0.0001,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}, 'optimizer__learning_rate': 0.0001}",0.8072785167409187,0.8114232971556568,0.814012609320228,0.8109048077389346,0.0027735205273102586,14
15,92.25697565078735,1.3897301365315353,0.21515870094299316,0.07532983868612067,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}",1e-05,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}, 'optimizer__learning_rate': 1e-05}",0.8033638107301553,0.7878898280400997,0.8058989659526201,0.7990508682409584,0.007959621715231848,15
16,70.20788256327312,9.883076613105906,0.4600669542948405,0.1041005161315673,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}",0.0001,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}, 'optimizer__learning_rate': 0.0001}",0.7767972413687275,0.7797657339055585,0.7863230037107427,0.7809619929950097,0.0039798085302318615,16
17,50.49584070841471,0.3847514221949339,0.4852953751881917,0.07132926186286492,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}",0.0001,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}, 'optimizer__learning_rate': 0.0001}",0.7706716031566822,0.7678239488793138,0.7714024733450691,0.7699660084603549,0.0015437740000004202,17
18,99.92298618952434,1.073947725647708,0.681796153386434,0.11040141809031129,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}",1e-05,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'relu', 'sigmoid'], 'Neurons': [200, 100, 50, 1]}, 'optimizer__learning_rate': 1e-05}",0.7673329215213072,0.7678085151203964,0.7706802081600566,0.7686072149339201,0.0014786306738735417,18
19,73.46282585461934,5.5999637357090455,0.717537005742391,0.14226773986482683,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}",1e-05,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}, 'optimizer__learning_rate': 1e-05}",0.7497161514531994,0.7216606974934414,0.7383111784481996,0.7365626757982802,0.011520129349956856,19
20,51.12925903002421,0.11403806481311309,0.40433375040690106,0.04404150866044541,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}",1e-05,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}, 'optimizer__learning_rate': 1e-05}",0.7109904487002432,0.6993131953477365,0.7157437316099944,0.708682458552658,0.006903416755846601,20
21,50.936156352361046,0.30352650927541175,0.41659847895304364,0.04911673672190007,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}",1e-05,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}, 'optimizer__learning_rate': 1e-05}",0.6895607191612914,0.6867343254955584,0.7147626049556048,0.6970192165374849,0.012599417968187521,21
22,58.260074615478516,0.7998384207967135,0.4290189743041992,0.04996149478185616,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}",1e-05,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [100, 1]}, 'optimizer__learning_rate': 1e-05}",0.6994154483616708,0.6899301627020719,0.6884918147860313,0.692612475283258,0.004846135450789752,22
23,84.15984853108723,2.2449385912322066,0.3692301909128825,0.0066555850331300025,False,binary_crossentropy,"{'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}",1e-05,"{'balance_class_weights': False, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense'], 'ActivationFunctions': ['relu', 'sigmoid'], 'Neurons': [50, 1]}, 'optimizer__learning_rate': 1e-05}",0.6612069109281193,0.6611783228942238,0.6665850891653878,0.6629901076625769,0.002542062590769485,23
24,52.021223306655884,30.328342882445522,0.5514033635457357,0.10084846468451517,True,binary_crossentropy,"{'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}",1e-05,"{'balance_class_weights': True, 'loss': 'binary_crossentropy', 'model__architecture': {'Layers': ['Dense', 'Dense', 'Dense'], 'ActivationFunctions': ['relu', 'relu', 'sigmoid'], 'Neurons': [100, 50, 1]}, 'optimizer__learning_rate': 1e-05}",0.440215015276099,0.7351370992233937,0.744936467666283,0.6400961940552586,0.1413939440666387,24
